ID,Source-Span,Source_Strength,Original,Constraint(s),Interpretation,Atomic,Beyond-Syntax,Diff-Code-Related,Objective,Grounded,Decision(Auto),Notes,random
norm_150,1428-1428,required,"Field references differ from other reference types, as the operator has no knowledge of the object prior to the reference. Since the schema of an object can differ for different versions of a resource, this means that a “version” is required for this type of reference.","Since the schema of an object can differ for different versions of a resource, this means that a “version” is required for this type of reference.",オブジェクトのスキーマはバージョンにより異なるため，フィールド参照にはバージョンの指定が必要である．,,,,,,,,0.2474184446
norm_033,337-340,SHOULD,"All objects that represent a physical resource whose state may vary from the user's desired intent SHOULD have a `spec` and a `status`. Objects whose state cannot vary from the user's desired intent MAY have only `spec`, and MAY rename `spec` to a more appropriate name.",All objects that represent a physical resource whose state may vary from the user's desired intent SHOULD have a `spec` and a `status`.,ユーザーの意図と実際の状態が異なりうる物理リソースを表すオブジェクトは，specとstatusの両方を持つべきである．,,,,,,,,0.2493295165
norm_112,967-974,must,"In some cases, these values may be conditional on or deterministically derived from other fields (e.g. ""if otherField is X then this field defaults to 0"" or ""this field defaults to the value of otherField"").  Note that such derived defaults present a hazard in the face of updates - if the ""other"" field changes, the derived field may have to change, too.  The static defaulting logic is unaware of updates and has no concept of ""previous value"", which means this inter-field relationship becomes the user's problem - they must update both the field they care about and the ""other"" field.","The static defaulting logic is unaware of updates and has no concept of ""previous value"", which means this inter-field relationship becomes the user's problem - they must update both the field they care about and the ""other"" field.",静的デフォルトのロジックは更新を認識せず「以前の値」の概念がないため，フィールド間の依存関係はユーザーが管理しなければならない．,,,,,,,,0.255207589
norm_100,828-829,must,"A field that is required means that the writer must express an opinion about the value of the field. Required fields are always present, and readers can rely on the field being present in the object.",A field that is required means that the writer must express an opinion about the value of the field.,requiredフィールドでは，書き手がそのフィールドの値について意見を表明しなければならない（必ず値を指定する）．,,,,,,,,0.2571402675
norm_063,590-592,MUST,"* All public integer fields MUST use the Go `int32` or Go `int64` types, not `int` (which is ambiguously sized, depending on target platform).  Internal types may use `int`.","All public integer fields MUST use the Go `int32` or Go `int64` types, not `int` (which is ambiguously sized, depending on target platform). Internal types may use `int`.",公開整数フィールドは必ずGoのint32またはint64を使用しなければならない．int型はプラットフォーム依存でサイズが曖昧なため禁止．内部型ではintを使用可．,,,,,,,,0.2783380153
norm_152,1442-1443,required,"In this scenario, the user will supply all of the required path elements: group, version, resource, name, and possibly namespace. As such, the controller can construct the API prefix and query it without the use of the discovery client:","In this scenario, the user will supply all of the required path elements: group, version, resource, name, and possibly namespace.",ユーザーはgroup，version，resource，name，および必要に応じてnamespaceのすべてのパス要素を指定する．,,,,,,,,0.2807329306
norm_047,420-424,may,"* When designing Conditions for a resource, it's helpful to have a common top-level condition which summarizes more detailed conditions. Simple consumers may simply query the top-level condition. Although they are not a consistent standard, the `Ready` and `Succeeded` condition types may be used by API designers for long-running and bounded-execution objects, respectively.","When designing Conditions for a resource, it's helpful to have a common top-level condition which summarizes more detailed conditions. Simple consumers may simply query the top-level condition. Although they are not a consistent standard, the `Ready` and `Succeeded` condition types may be used by API designers for long-running and bounded-execution objects, respectively.",リソースのCondition設計時，詳細なconditionを要約する共通のトップレベルconditionがあると便利．長期実行にはReady，有限実行にはSucceededを使用できる．,,,,,,,,0.2847800459
norm_053,475-477,may,"Condition `status` values may be `True`, `False`, or `Unknown`. The absence of a condition should be interpreted the same as `Unknown`.  How controllers handle `Unknown` depends on the Condition in question.","Condition `status` values may be `True`, `False`, or `Unknown`.",conditionのstatus値はTrue，False，Unknownのいずれかである．,,,,,,,,0.2861135041
norm_210,2048-2049,must,"* When referencing a literal string value, indicate the literal in single-quotes. Example: ""must not contain '..'"".","When referencing a literal string value, indicate the literal in single-quotes. Example: ""must not contain '..'"".",エラーメッセージでリテラル文字列を参照する場合はシングルクォートで囲む（例: must not contain '..'）．,,,,,,,,0.2888937234
norm_162,1765-1768,should,"Events are complementary to status information, since they can provide some historical information about status and occurrences in addition to current or previous status. Generate events for situations users or administrators should be alerted about.",Generate events for situations users or administrators should be alerted about.,ユーザーや管理者に警告すべき状況についてイベントを生成すべきである．,,,,,,,,0.2900121356
norm_149,1422-1422,should,"The operator would be expected to find the resource via the discovery client (as the version is not supplied). As any retrievable field would be common to all objects, any version of the resource should do.","As any retrievable field would be common to all objects, any version of the resource should do.",取得可能なフィールドはすべてのオブジェクトに共通のため，リソースのどのバージョンでも十分である．,,,,,,,,0.2925151735
norm_185,1918-1918,must,- Unprefixed keys are reserved for end-users.  All other labels and annotations must be prefixed.,Unprefixed keys are reserved for end-users. All other labels and annotations must be prefixed.,プレフィックスなしのキーはエンドユーザー用に予約されている．それ以外のすべてのラベルとannotationsにはプレフィックスが必要．,,,,,,,,0.297922711
norm_080,682-683,may,Future versions of Kubernetes may allow alternative encodings of objects beyond JSON.,Future versions of Kubernetes may allow alternative encodings of objects beyond JSON.,Kubernetesの将来のバージョンでは，JSON以外のオブジェクトエンコーディングが許可される可能性がある．,,,,,,,,0.301309435
norm_040,365-368,should,"Objects may report multiple conditions, and new types of conditions may be added in the future or by 3rd party controllers. Therefore, conditions are represented using a list/slice of objects, where each condition has a similar structure. This collection should be treated as a map with a key of `type`.",This collection should be treated as a map with a key of `type`.,conditionsのコレクションはtypeをキーとするマップとして扱うべきである．,,,,,,,,0.3073985588
norm_176,1868-1881,should,"Problems with uids and hashes, however, include that they have no semantic meaning to the user, are not memorable nor readily recognizable, and are not predictable. Lack of predictability obstructs use cases such as creation of a replication controller from a pod, such as people want to do when exploring the system, bootstrapping a self-hosted cluster, or deletion and re-creation of a new RC that adopts the pods of the previous one, such as to rename it. Generation numbers are more predictable and much clearer, assuming there is a logical sequence. Fortunately, for deployments that's the case. For jobs, use of creation timestamps is common internally. Users should always be able to turn off auto-generation, in order to permit some of the scenarios described above. Note that auto-generated labels will also become one more field that needs to be stripped out when cloning a resource, within a namespace, in a new namespace, in a new cluster, etc., and will need to be ignored around when updating a resource via patch or read-modify-write sequence.","Users should always be able to turn off auto-generation, in order to permit some of the scenarios described above.",ユーザーは常にラベルの自動生成を無効化できるべきである．,,,,,,,,0.3129071888
norm_187,1923-1924,should,"- ""kubernetes.io"" is the preferred form for labels and annotations, ""k8s.io"" should not be used for new map keys.","""kubernetes.io"" is the preferred form for labels and annotations, ""k8s.io"" should not be used for new map keys.",ラベルとannotationsにはkubernetes.ioが推奨形式であり，新しいマップキーにk8s.ioを使用すべきではない．,,,,,,,,0.3156871087
norm_041,372-376,should,"* Conditions should be added to explicitly convey properties that users and components care about rather than requiring those properties to be inferred from other observations.  Once defined, the meaning of a Condition can not be changed arbitrarily - it becomes part of the API, and has the same backwards- and forwards-compatibility concerns of any other part of the API.","Conditions should be added to explicitly convey properties that users and components care about rather than requiring those properties to be inferred from other observations. Once defined, the meaning of a Condition can not be changed arbitrarily - it becomes part of the API, and has the same backwards- and forwards-compatibility concerns of any other part of the API.",Conditionは推論に頼らず，ユーザーやコンポーネントが気にするプロパティを明示的に伝えるべきである．一度定義するとAPIの一部となり，後方互換性の対象になる．,,,,,,,,0.3171319871
norm_202,2019-2021,should,"All list fields should have their ""listType"" tag(s) set.  Lists with set or map semantics should be checked for uniqueness (declarative validation will do this authomatically).","All list fields should have their ""listType"" tag(s) set.",すべてのリストフィールドにlistTypeタグを設定すべきである．,,,,,,,,0.3193174655
norm_098,812-822,should,"Names generated by the system may be requested using `metadata.generateName`. GenerateName indicates that the name should be made unique by the server prior to persisting it. A non-empty value for the field indicates the server should attempt to make the name unique (and the name returned to the client will be different than the name passed). The value of this field will be combined with a random suffix on the server if the Name field has not been provided. The provided value must be valid within the rules for Name, and may be truncated by the length of the suffix. If this field is specified, and Name is not present, the server will return a 409 with Reason `AlreadyExists` if the generated name exists, and the client should retry (after waiting at least the amount of time indicated in the Retry-After header, if it is present).","If this field is specified, and Name is not present, the server will return a 409 with Reason `AlreadyExists` if the generated name exists, and the client should retry (after waiting at least the amount of time indicated in the Retry-After header, if it is present).",generateNameが指定されNameが未設定の場合，生成名が既存なら409/AlreadyExistsを返す．クライアントはRetry-Afterヘッダーに従いリトライすべきである．,,,,,,,,0.3211959089
norm_206,2028-2028,should,"Map fields should have their keys validated, in addition to their values.","Map fields should have their keys validated, in addition to their values.",mapフィールドは値だけでなくキーもバリデーションすべきである．,,,,,,,,0.3234514244
norm_116,1014-1021,must,"Instead, we can provide a built-in admission controller or a MutatingWebhookConfiguration.  Unlike static defaults, these may consider external state (such as annotations on StorageClass objects) when deciding default values, and must handle things like race conditions (e.g. a StorageClass is designated the default, but the admission controller has not yet seen that update).  These admission controllers are strictly optional and can be disabled.  As such, fields which are initialized this way must be strictly optional.","Unlike static defaults, these may consider external state (such as annotations on StorageClass objects) when deciding default values, and must handle things like race conditions (e.g. a StorageClass is designated the default, but the admission controller has not yet seen that update).",Admission Controlledデフォルトは外部状態（例: StorageClassのアノテーション）を考慮でき，レースコンディションに対応しなければならない．,,,,,,,,0.3249791259
norm_082,692-693,should,* POST /&lt;resourceNamePlural&gt; - Create a new resource from the JSON object provided by the client.,API resources should use the traditional REST pattern: POST /&lt;resourceNamePlural&gt; - Create a new resource from the JSON object provided by the client.,POST /<リソース名複数形>でクライアント提供のJSONオブジェクトから新リソースを作成するエンドポイントを提供すべきである．,,,,,,,,0.325147632
norm_024,272-274,SHOULD,* annotations: a map of string keys and values that can be used by external tooling to store and retrieve arbitrary metadata about this object (see [the annotations docs](https://kubernetes.io/docs/concepts/overview/working-with-objects/annotations/)),Every object SHOULD have a `metadata.annotations` field that external tooling can use to store and retrieve arbitrary metadata about the object.,すべてのオブジェクトは，外部ツールが任意のメタデータを保存・取得するためのmetadata.annotationsフィールドを持つべきである．,,,,,,,,0.3295826398
norm_048,426-427,should,"Conditions should follow the standard schema included in [k8s.io/apimachinery/pkg/apis/meta/v1/types.go](https://github.com/kubernetes/apimachinery/blob/release-1.23/pkg/apis/meta/v1/types.go#L1432-L1492). It should be included as a top level element in status, similar to",Conditions should follow the standard schema included in k8s.io/apimachinery/pkg/apis/meta/v1/types.go.,Conditionはk8s.io/apimachinery/pkg/apis/meta/v1/types.goの標準スキーマに従うべきである．,,,,,,,,0.3384030657
norm_076,657-661,should,"Every simple kind returned by the server, and any simple kind sent to the server that must support idempotency or optimistic concurrency should return this value. Since simple resources are often used as input alternate actions that modify objects, the resource version of the simple resource should correspond to the resource version of the object.","Since simple resources are often used as input alternate actions that modify objects, the resource version of the simple resource should correspond to the resource version of the object.",simple resourceのresourceVersionは，操作対象オブジェクトのresourceVersionに対応すべきである．,,,,,,,,0.3440273965
norm_030,322-325,MUST,"The PUT and POST verbs on objects MUST ignore the `status` values, to avoid accidentally overwriting the `status` in read-modify-write scenarios. A `/status` subresource MUST be provided to enable system components to update statuses of resources they manage.",A `/status` subresource MUST be provided to enable system components to update statuses of resources they manage.,システムコンポーネントが管理するリソースのステータスを更新できるよう，/statusサブリソースを必ず提供しなければならない．,,,,,,,,0.3482183408
norm_180,1895-1905,must,"Annotations have very different intended usage from labels. They are primarily generated and consumed by tooling and system extensions, or are used by end-users to engage non-standard behavior of components.  For example, an annotation might be used to indicate that an instance of a resource expects additional handling by non-kubernetes controllers. Annotations may carry arbitrary payloads, including JSON documents.  Like labels, annotation keys can be prefixed with a governing domain (e.g. `example.com/key-name`).  Unprefixed keys (e.g. `key-name`) are reserved for end-users.  Third-party components must use prefixed keys.  Key prefixes under the ""kubernetes.io"" and ""k8s.io"" domains are reserved for use by the kubernetes project and must not be used by third-parties.",Third-party components must use prefixed keys.,サードパーティコンポーネントはプレフィックス付きのキーを使用しなければならない．,,,,,,,,0.3562975661
norm_122,1049-1049,should,- Setting previously unset fields,All forms of defaulting should only set previously unset fields.,すべてのデフォルト設定は，以前に設定されていないフィールドのみを設定すべきである．,,,,,,,,0.3582369918
norm_114,991-994,required,"Static defaults are the best choice for values which are logically required, but which have a value that works well for most users.  Static defaulting must not consider any state except the object being operated upon (and the complexity of Service API stands as an example of why).","Static defaults are the best choice for values which are logically required, but which have a value that works well for most users.",静的デフォルトは，論理的にはrequiredだがほとんどのユーザーに適するデフォルト値がある場合に最適な選択である．,,,,,,,,0.35917665
norm_172,1815-1816,should,"* The name of a field expressing a boolean property called 'fooable' should be called `Fooable`, not `IsFooable`.","The name of a field expressing a boolean property called 'fooable' should be called `Fooable`, not `IsFooable`.",booleanプロパティfooableを表すフィールド名はFooableであり，IsFooableではない．,,,,,,,,0.3611052823
norm_201,2016-2017,should,"All list fields should be checked for maximum size.  If the list has a minimum size, that should also be checked.","If the list has a minimum size, that should also be checked.",リストに最小サイズがある場合，その最小サイズもチェックすべきである．,,,,,,,,0.3620372288
norm_211,2050-2051,must,"* When referencing another field name, indicate the name in back-quotes. Example: ""must be greater than \`request\`"".","When referencing another field name, indicate the name in back-quotes. Example: ""must be greater than \`request\`"".",エラーメッセージで別のフィールド名を参照する場合はバッククォートで囲む（例: must be greater than `request`）．,,,,,,,,0.3802732172
norm_037,345-350,may,"Some objects which are not persisted in the system - such as `SubjectAccessReview` and other webhook style calls - may choose to add `spec` and `status` to encapsulate a ""call and response"" pattern. The `spec` is the request (often a request for information) and the `status` is the response. For these RPC like objects the only operation may be POST, but having a consistent schema between submission and response reduces the complexity of these clients.","For these RPC like objects the only operation may be POST, but having a consistent schema between submission and response reduces the complexity of these clients.",RPCライクなオブジェクトの操作はPOSTのみでもよいが，送信と応答のスキーマを一貫させることでクライアントの複雑さを軽減する．,,,,,,,,0.3858425267
norm_153,1577-1578,SHOULD,Kubernetes will always return the `Status` kind from any API endpoint when an error occurs. Clients SHOULD handle these types of objects when appropriate.,Clients SHOULD handle these types of objects when appropriate.,クライアントは適切な場合にStatus kindオブジェクトを処理すべきである．,,,,,,,,0.3869783408
norm_091,762-764,may,"Short-name matches may be given lower priority than an exact match of a resource type, so use of short names increases potential for inconsistent behavior in clusters with custom resources installed, if those custom resource types overlap with short names.","Short-name matches may be given lower priority than an exact match of a resource type, so use of short names increases potential for inconsistent behavior in clusters with custom resources installed, if those custom resource types overlap with short names.",ショートネームのマッチはリソース型の完全一致より優先度が低くなることがあり，カスタムリソースが重複すると動作が不整合になる可能性がある．,,,,,,,,0.4004224848
norm_221,2152-2161,must,"Since almost everything is happening asynchronously to almost everything else, controller implementations should take care around the ordering of operations. For example, whether the controller updates a `status` field before or after it actuates a change depends on what guarantees need to be made to observers of the system.  In some cases, writing to a `status` field represents an acknowledgement or acceptance of a `spec` value, and it is OK to write it before actuation.  However, if it would be problematic for a client to observe the `status` value before it is actuated then the controller must actuate first and update `status` afterward.  In some rarer cases, controllers will need to acknowledge, then actuate, then update to a ""final"" value.","However, if it would be problematic for a client to observe the `status` value before it is actuated then the controller must actuate first and update `status` afterward.",クライアントがstatus値を実行前に観測すると問題がある場合，コントローラーは先に実行してからstatusを更新しなければならない．,,,,,,,,0.4020039913
norm_079,679-680,may,"As another example, a ""pod status"" resource may accept a PUT with the ""pod"" kind, with different rules about what fields may be changed.","As another example, a ""pod status"" resource may accept a PUT with the ""pod"" kind, with different rules about what fields may be changed.",例として，pod statusリソースはpod kindでのPUTを受け付け，変更可能なフィールドに異なるルールを適用してもよい．,,,,,,,,0.4051940661
norm_161,1760-1760,may,* Http status code: `500 StatusInternalServerError` `code` may contain the suggested HTTP return code for this status.,Http status code: `500 StatusInternalServerError` `code` may contain the suggested HTTP return code for this status.,codeフィールドは，このステータスに対する推奨HTTPリターンコードを含んでもよい．,,,,,,,,0.4064384726
norm_155,1629-1629,may,`message` may contain human-readable description of the error,`message` may contain a human-readable description of the error.,messageフィールドは人間可読なエラー説明を含んでもよい．,,,,,,,,0.4102042925
norm_072,641-645,may,"Sometimes, when a new type is created, the api designer may anticipate that a union will be needed in the future, even if only one field is allowed initially. In this case, be sure to make the field [Optional](#optional-vs-required) In the validation, you may still return an error if the sole field is unset. Do not set a default value for that field.","Sometimes, when a new type is created, the api designer may anticipate that a union will be needed in the future, even if only one field is allowed initially.",API設計者は将来のunion化を見越して，初期段階でフィールドが1つしかなくてもunion構造を準備しておくことができる．,,,,,,,,0.4116659494
norm_113,976-978,may,"In very rare cases, these values may be allocated from some pool or determined by some other method (e.g. Service's IP and IP-family related fields need to consider other configuration settings).","In very rare cases, these values may be allocated from some pool or determined by some other method (e.g. Service's IP and IP-family related fields need to consider other configuration settings).",まれに，デフォルト値がプールから割り当てられるか他の方法で決定される場合がある（例: ServiceのIPとIPファミリー関連フィールド）．,,,,,,,,0.4152551798
norm_038,354-363,should,"**Conditions** provide a standard mechanism for higher-level status reporting from a controller. They are an extension mechanism which allows tools and other controllers to collect summary information about resources without needing to understand resource-specific status details. Conditions should complement more detailed information about the observed status of an object written by a controller, rather than replace it. For example, the ""Available"" condition of a Deployment can be determined by examining `readyReplicas`, `replicas`, and other properties of the Deployment. However, the ""Available"" condition allows other components to avoid duplicating the availability logic in the Deployment controller.","Conditions should complement more detailed information about the observed status of an object written by a controller, rather than replace it.",Conditionsは，コントローラーが記録する詳細なステータス情報を補完するものであり，置き換えるものではない．,,,,,,,,0.4155079834
norm_160,1740-1742,should,* The server should set the `Retry-After` HTTP header and return `retryAfterSeconds` in the details field of the object. A value of `0` is the default.,The server should set the `Retry-After` HTTP header and return `retryAfterSeconds` in the details field of the object. A value of `0` is the default.,サーバーはRetry-After HTTPヘッダーを設定し，detailsフィールドにretryAfterSecondsを返すべきである（別のステータスコードに関する同様の規約）．,,,,,,,,0.4272385462
norm_133,1186-1186,should,All dates should be serialized as RFC3339 strings.,All dates should be serialized as RFC3339 strings.,すべての日付はRFC 3339形式の文字列としてシリアライズすべきである．,,,,,,,,0.433724796
norm_016,234-236,MUST,* namespace: a namespace is a DNS compatible label that objects are subdivided into. The default namespace is 'default'. See [the namespace docs](https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/) for more.,"Every object kind MUST have the following metadata in a nested object field called ""metadata"": namespace: a namespace is a DNS compatible label that objects are subdivided into. The default namespace is 'default'. See the namespace docs for more.",すべてのオブジェクトkindは，metadata.namespaceフィールドを持たなければならない．デフォルトは'default'．,,,,,,,,0.4361796284
norm_164,1787-1788,should,"* Field and resource names should be declarative, not imperative (SomethingDoer, DoneBy, DoneAt).","Field and resource names should be declarative, not imperative (SomethingDoer, DoneBy, DoneAt).","フィールドとリソースの名前は宣言的であるべきであり，命令的であるべきではない（例: SomethingDoer, DoneBy, DoneAt）．",,,,,,,,0.4423579355
norm_051,472-473,should,"Condition types should be named in PascalCase. Short condition names are preferred (e.g. ""Ready"" over ""MyResourceReady"").",Condition types should be named in PascalCase.,"Condition type名はPascalCaseで命名すべきである（例: Ready, OutOfDisk, Succeeded）．",,,,,,,,0.4440790402
norm_074,652-655,MUST,* resourceVersion: a string that identifies the common version of the objects returned by in a list. This value MUST be treated as opaque by clients and passed unmodified back to the server. A resource version is only valid within a single namespace on a single kind of resource.,"Every list or simple kind SHOULD have the following metadata in a nested object field called ""metadata"": resourceVersion: a string that identifies the common version of the objects returned by in a list. This value MUST be treated as opaque by clients and passed unmodified back to the server. A resource version is only valid within a single namespace on a single kind of resource.",リスト型またはsimple kindはmetadata.resourceVersionを持つべきであり，この値はクライアントが不透明に扱いサーバーに変更せず返さなければならない（MUST）．,,,,,,,,0.4453836489
norm_191,1971-1974,must,"Clients should use the SPDY protocols if their clients have native support, or WebSockets as a fallback. Note that WebSockets is susceptible to Head-of-Line blocking and so clients must read and process each message sequentially. In the future, an HTTP/2 implementation will be exposed that deprecates SPDY.",Note that WebSockets is susceptible to Head-of-Line blocking and so clients must read and process each message sequentially.,WebSocketsはHead-of-Lineブロッキングの影響を受けるため，クライアントは各メッセージを順次読み取り処理しなければならない．,,,,,,,,0.4477361849
norm_056,482-487,should,"In general, condition values may change back and forth, but some condition transitions may be monotonic, depending on the resource and condition type. However, conditions are observations and not, themselves, state machines, nor do we define comprehensive state machines for objects, nor behaviors associated with state transitions. The system is level-based rather than edge-triggered, and should assume an Open World.","The system is level-based rather than edge-triggered, and should assume an Open World.",システムはエッジトリガではなくレベルベースであり，Open Worldを前提とすべきである．,,,,,,,,0.4489938839
norm_108,895-895,should,"- For `bool` types, the zero value is `false`, which is always a valid user choice. `bool` types should always be pointers, and should always use the `omitempty` tag.","For `bool` types, the zero value is `false`, which is always a valid user choice. `bool` types should always be pointers, and should always use the `omitempty` tag.",bool型はゼロ値のfalseが常に有効な選択であるため，常にポインタ型（*bool）にし，omitemptyタグを使用すべきである．,,,,,,,,0.449094764
norm_219,2131-2132,should,"New APIs should almost never do this.  Instead, they should use `status`. PersistentVolumes might have been simpler if we had done this.","Instead, new APIs should use `status`.",新しいAPIでは割り当て済み値の保持にstatusを使用すべきである．,,,,,,,,0.4499557184
norm_022,260-269,SHOULD,"* deletionTimestamp: a string representing an RFC 3339 date of the date and time after which this resource will be deleted. This field is set by the server when a graceful deletion is requested by the user, and is not directly settable by a client. The resource will be deleted (no longer visible from resource lists, and not reachable by name) after the time in this field except when the object has a finalizer set. In case the finalizer is set the deletion of the object is postponed at least until the finalizer is removed. Once the deletionTimestamp is set, this value may not be unset or be set further into the future, although it may be shortened or the resource may be deleted prior to this time.","Every object SHOULD have the following metadata in a nested object field called ""metadata"": deletionTimestamp: a string representing an RFC 3339 date of the date and time after which this resource will be deleted. This field is set by the server when a graceful deletion is requested by the user, and is not directly settable by a client. The resource will be deleted (no longer visible from resource lists, and not reachable by name) after the time in this field except when the object has a finalizer set. In case the finalizer is set the deletion of the object is postponed at least until the finalizer is removed. Once the deletionTimestamp is set, this value may not be unset or be set further into the future, although it may be shortened or the resource may be deleted prior to this time.",すべてのオブジェクトはmetadata.deletionTimestampフィールドを持つべきである．グレースフル削除時にサーバーが設定し，一度設定されると解除や延長はできない．,,,,,,,,0.4501752141
norm_148,1402-1403,must,"It is also possible to have the controller choose a version that it finds via the discovery client. However, as schemas can vary across different versions of a resource, the controller must also handle these differences.","However, as schemas can vary across different versions of a resource, the controller must also handle these differences.",リソースの異なるバージョンでスキーマが異なる場合があるため，コントローラーはこれらの差異に対応しなければならない．,,,,,,,,0.4597000515
norm_002,145-147,must,"The name of a list kind must end with ""List"". Lists have a limited set of common metadata. All lists use the required ""items"" field to contain the array of objects they return. Any kind that has the ""items"" field must be a list kind.","The name of a list kind must end with ""List"".","リスト型のkind名は必ず「List」で終わる必要がある（例: PodList, ServiceList）．",,,,,,,,0.4641193669
norm_093,806-810,MUST,"All compatible Kubernetes APIs MUST support ""name idempotency"" and respond with an HTTP status code 409 when a request is made to POST an object that has the same name as an existing object in the system. See [the identifiers docs](https://kubernetes.io/docs/concepts/overview/working-with-objects/names/) for details.","All compatible Kubernetes APIs MUST support ""name idempotency"" and respond with an HTTP status code 409 when a request is made to POST an object that has the same name as an existing object in the system.",互換性のあるすべてのKubernetes APIは名前の冪等性をサポートし，既存オブジェクトと同名のPOSTリクエストにHTTP 409を返さなければならない．,,,,,,,,0.4727453778
norm_141,1239-1240,should,"The ""{field}"" component should be named to indicate the purpose of the reference. For example, ""targetRef"" in an endpoint indicates that the object reference specifies the target.","The ""{field}"" component should be named to indicate the purpose of the reference.",参照フィールドの「{field}」部分は参照の目的を示す名前にすべきである．,,,,,,,,0.4812346358
norm_179,1895-1905,may,"Annotations have very different intended usage from labels. They are primarily generated and consumed by tooling and system extensions, or are used by end-users to engage non-standard behavior of components.  For example, an annotation might be used to indicate that an instance of a resource expects additional handling by non-kubernetes controllers. Annotations may carry arbitrary payloads, including JSON documents.  Like labels, annotation keys can be prefixed with a governing domain (e.g. `example.com/key-name`).  Unprefixed keys (e.g. `key-name`) are reserved for end-users.  Third-party components must use prefixed keys.  Key prefixes under the ""kubernetes.io"" and ""k8s.io"" domains are reserved for use by the kubernetes project and must not be used by third-parties.","Annotations may carry arbitrary payloads, including JSON documents.",annotationsはJSONドキュメントを含む任意のペイロードを運ぶことができる．,,,,,,,,0.4924978623
norm_167,1799-1800,preferred,"* `fooPeriodSeconds` is preferred for periodic intervals and other waiting periods (e.g., over `fooIntervalSeconds`).","`fooPeriodSeconds` is preferred for periodic intervals and other waiting periods (e.g., over `fooIntervalSeconds`).",周期的な間隔にはfooPeriodSecondsが望ましい（fooIntervalSecondsより）．,,,,,,,,0.4991508174
norm_044,396-401,should,"* Condition type names should make sense for humans; neither positive nor negative polarity can be recommended as a general rule. A negative condition like ""MemoryExhausted"" may be easier for humans to understand than ""SufficientMemory"". Conversely, ""Ready"" or ""Succeeded"" may be easier to understand than ""Failed"", because ""Failed=Unknown"" or ""Failed=False"" may cause double-negative confusion.","Condition type names should make sense for humans; neither positive nor negative polarity can be recommended as a general rule. A negative condition like ""MemoryExhausted"" may be easier for humans to understand than ""SufficientMemory"". Conversely, ""Ready"" or ""Succeeded"" may be easier to understand than ""Failed"", because ""Failed=Unknown"" or ""Failed=False"" may cause double-negative confusion.",Condition type名は人間にとって理解しやすいものであるべきである．正・負のどちらの極性が適切かはケースバイケース（例: MemoryExhausted vs SufficientMemory）．,,,,,,,,0.5031945009
norm_181,1895-1905,must,"Annotations have very different intended usage from labels. They are primarily generated and consumed by tooling and system extensions, or are used by end-users to engage non-standard behavior of components.  For example, an annotation might be used to indicate that an instance of a resource expects additional handling by non-kubernetes controllers. Annotations may carry arbitrary payloads, including JSON documents.  Like labels, annotation keys can be prefixed with a governing domain (e.g. `example.com/key-name`).  Unprefixed keys (e.g. `key-name`) are reserved for end-users.  Third-party components must use prefixed keys.  Key prefixes under the ""kubernetes.io"" and ""k8s.io"" domains are reserved for use by the kubernetes project and must not be used by third-parties.","Key prefixes under the ""kubernetes.io"" and ""k8s.io"" domains are reserved for use by the kubernetes project and must not be used by third-parties.",kubernetes.ioとk8s.ioドメインのキープレフィックスはKubernetesプロジェクト専用であり，サードパーティは使用してはならない．,,,,,,,,0.5084021021
norm_213,2061-2061,should,"2. A set of N fields, only one of which should be set at any given time - effectively a union.","A set of N fields, only one of which should be set at any given time - effectively a union.",N個のフィールドのうち任意の時点で1つだけが設定されるべきである（union）．,,,,,,,,0.5106537444
norm_060,522-528,should,"Status information that may be large (especially proportional in size to collections of other resources, such as lists of references to other objects -- see below) and/or rapidly changing, such as [resource usage](https://git.k8s.io/design-proposals-archive/scheduling/resources.md#usage-data), should be put into separate objects, with possibly a reference from the original object. This helps to ensure that GETs and watch remain reasonably efficient for the majority of clients, which may not need that data.","Status information that may be large (especially proportional in size to collections of other resources, such as lists of references to other objects -- see below) and/or rapidly changing, such as resource usage, should be put into separate objects, with possibly a reference from the original object.",大きくなりうるステータス情報（コレクションに比例するデータや急速に変化するデータ）は別オブジェクトに分離し，元のオブジェクトから参照すべきである．,,,,,,,,0.5153022414
norm_046,410-418,should,"* For state transitions which take a long period of time (e.g. more than 1 minute), it is reasonable to treat the transition itself as an observed state. In these cases, the Condition (such as ""Resizing"") itself should not be transient, and should instead be signalled using the `True`/`False`/`Unknown` pattern. This allows other observers to determine the last update from the controller, whether successful or failed. In cases where the state transition is unable to complete and continued reconciliation is not feasible, the Reason and Message should be used to indicate that the transition failed.","For state transitions which take a long period of time (e.g. more than 1 minute), it is reasonable to treat the transition itself as an observed state. In these cases, the Condition (such as ""Resizing"") itself should not be transient, and should instead be signalled using the `True`/`False`/`Unknown` pattern. This allows other observers to determine the last update from the controller, whether successful or failed. In cases where the state transition is unable to complete and continued reconciliation is not feasible, the Reason and Message should be used to indicate that the transition failed.",長時間の状態遷移（1分以上）の場合，遷移自体を観測状態として扱いTrue/False/Unknownパターンで表現することが妥当．遷移が完了不能な場合はReasonとMessageで示す．,,,,,,,,0.5191930769
