ID,Source-Span,Source_Strength,Original,Constraint,Interpretation,Kube-API-Linter,Atomic,Beyond-Syntax,Diff-Closed,Objective,Grounded,Decision(Auto),Notes
block_0092_s1,625-632,obligation,"All API within Kubernetes must leverage constants in this style, including flags and configuration files.","All API within Kubernetes must use constants in this style, including flags and configuration files.",Kubernetes 内のすべての API は，フラグや設定ファイルを含め，指定された定数スタイルを使用しなければならない．,,,,,,,,
block_0092_s2,625-632,recommendation,"Where inconsistent constants were previously used, new flags should be CamelCase only, and over time old flags should be updated to accept a CamelCase value alongside the inconsistent constant.","Where inconsistent constants were previously used, new flags should use only CamelCase values, and old flags should eventually be updated to accept a CamelCase value alongside the inconsistent constant.",過去に一貫しない定数が使われていた箇所では，新しいフラグは CamelCase の値だけを使うべきである．既存の古いフラグは，将来的に従来の一貫しない定数に加えて CamelCase の値も受け付けるよう更新するべきである．,,,,,,,,
block_0092_s4,625-632,recommendation,"Example: the Kubelet accepts a `--topology-manager-policy` flag that has values `none`, `best-effort`, `restricted`, and `single-numa-node`. This flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward.","The Kubelet `--topology-manager-policy` flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward.",Kubelet の `--topology-manager-policy` フラグは，今後 `None`，`BestEffort`，`Restricted`，`SingleNUMANode` を受け付けるべきである．,,,,,,,,
block_0092_s5,625-632,recommendation,"Where inconsistent constants were previously used, new flags should be CamelCase only, and over time old flags should be updated to accept a CamelCase value alongside the inconsistent constant. This flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward. If new values are added to the flag, both forms should be supported.","Where inconsistent constants were previously used, new flags should use only CamelCase values, old flags should eventually be updated to accept a CamelCase value alongside the inconsistent constant, the `--topology-manager-policy` flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward, and any new values added to the flag should support both forms.",過去に一貫しない定数が使われていた場合，新しいフラグは CamelCase の値だけを使うべきであり，古いフラグは従来値に加えて CamelCase 値も受け付けるようにするべきである．`--topology-manager-policy` は `None`，`BestEffort`，`Restricted`，`SingleNUMANode` を受け付け，今後追加される値は両方の形式をサポートするべきである．,,,,,,,,
block_0093_s3,636-639,recommendation,"Sometimes, at most one of a set of fields can be set. For example, the [volumes] field of a PodSpec has 17 different volume type-specific fields, such as `nfs` and `iscsi`. All fields in the set should be Optional.","When at most one field in a set of fields can be set, all fields in the set should be Optional.",あるフィールド集合のうち最大 1 つだけを設定できる場合，その集合内のすべてのフィールドは Optional にするべきである．,,,,,,,,
block_0094_s3,641-645,prohibition,"Sometimes, when a new type is created, the api designer may anticipate that a union will be needed in the future, even if only one field is allowed initially. In this case, be sure to make the field Optional In the validation, you may still return an error if the sole field is unset. Do not set a default value for that field.","When a new type is created and the API designer anticipates that a union will be needed in the future even though only one field is initially allowed, the field should be Optional, validation may return an error if the sole field is unset, and a default value must not be set for that field.",新しい型を作成する際，将来 union が必要になると API 設計者が想定しており，初期状態では 1 つのフィールドだけが許可される場合，そのフィールドは Optional にするべきである．検証ではその唯一のフィールドが未設定ならエラーを返してもよいが，そのフィールドにデフォルト値を設定してはならない．,,,,,,,,
block_0095_s1,649-650,recommendation,"Every list or simple kind SHOULD have the following metadata in a nested object field called ""metadata"": resourceVersion: a string that identifies the common version of the objects returned by in a list. This value MUST be treated as opaque by clients and passed unmodified back to the server. A resource version is only valid within a single namespace on a single kind of resource.","Every list or simple kind should have a nested object field called `metadata` containing `resourceVersion`, a string identifying the common version of the objects returned in a list, which clients must treat as opaque and pass unmodified back to the server, and which is only valid within a single namespace on a single kind of resource.",すべての list kind または simple kind は，`metadata` というネストされたオブジェクトフィールドを持つべきであり，そこに `resourceVersion` を含めるべきである．`resourceVersion` はリストで返されたオブジェクト群の共通バージョンを識別する文字列で，クライアントは不透明な値として扱い，変更せずサーバーへ返さなければならず，単一 namespace かつ単一リソース kind の範囲でのみ有効である．,,,,,,,,
block_0096_s2,652-655,obligation,resourceVersion: a string that identifies the common version of the objects returned by in a list. This value MUST be treated as opaque by clients and passed unmodified back to the server.,"Clients must treat `resourceVersion`, a string identifying the common version of the objects returned in a list, as opaque and pass it unmodified back to the server.",クライアントは，リストで返されたオブジェクト群の共通バージョンを識別する文字列である `resourceVersion` を不透明な値として扱い，変更せずにサーバーへ返さなければならない．,,,,,,,,
block_0097_s1,657-661,obligation;recommendation,"Every simple kind returned by the server, and any simple kind sent to the server that must support idempotency or optimistic concurrency should return this value.","Every simple kind returned by the server, and any simple kind sent to the server that must support idempotency or optimistic concurrency, should return the resource version value.",サーバーから返されるすべての simple kind と，冪等性または楽観的並行制御をサポートする必要があるサーバー送信対象の simple kind は，resource version 値を返すべきである．,,,,,,,,
block_0097_s2,657-661,recommendation,"Every simple kind returned by the server, and any simple kind sent to the server that must support idempotency or optimistic concurrency should return this value. Since simple resources are often used as input alternate actions that modify objects, the resource version of the simple resource should correspond to the resource version of the object.","Every simple kind returned by the server, and any simple kind sent to the server that must support idempotency or optimistic concurrency, should return the resource version value, and because simple resources are often used as input alternate actions that modify objects, the resource version of the simple resource should correspond to the resource version of the object.",サーバーから返されるすべての simple kind と，冪等性または楽観的並行制御をサポートする必要があるサーバー送信対象の simple kind は，resource version 値を返すべきである．simple resource はオブジェクトを変更する代替アクションの入力として使われることが多いため，simple resource の resource version は対象オブジェクトの resource version に対応するべきである．,,,,,,,,
block_0102_s1,688-688,recommendation,"API resources should use the traditional REST pattern: GET /&lt;resourceNamePlural&gt; - Retrieve a list of type &lt;resourceName&gt;, e.g. GET /pods returns a list of Pods. POST /&lt;resourceNamePlural&gt; - Create a new resource from the JSON object provided by the client. GET /&lt;resourceNamePlural&gt;/&lt;name&gt; - Retrieves a single resource with the given name, e.g. GET /pods/first returns a Pod named 'first'. Should be constant time, and the resource should be bounded in size. DELETE /&lt;resourceNamePlural&gt;/&lt;name&gt; - Delete the single resource with the given name. DELETE /&lt;resourceNamePlural&gt; - Deletes a list of type &lt;resourceName&gt;, e.g. DELETE /pods a list of Pods. PUT /&lt;resourceNamePlural&gt;/&lt;name&gt; - Update or create the resource with the given name with the JSON object provided by the client. PATCH /&lt;resourceNamePlural&gt;/&lt;name&gt; - Selectively modify the specified fields of the resource. GET /&lt;resourceNamePlural&gt;&quest;watch=true - Receive a stream of JSON objects corresponding to changes made to any resource of the given kind over time.","API resources should use the traditional REST pattern: `GET /<resourceNamePlural>` retrieves a list of type `<resourceName>`; `POST /<resourceNamePlural>` creates a new resource from the JSON object provided by the client; `GET /<resourceNamePlural>/<name>` retrieves a single resource with the given name, should be constant time, and should return a resource bounded in size; `DELETE /<resourceNamePlural>/<name>` deletes the single resource with the given name; `DELETE /<resourceNamePlural>` deletes a list of type `<resourceName>`; `PUT /<resourceNamePlural>/<name>` updates or creates the resource with the given name using the JSON object provided by the client; `PATCH /<resourceNamePlural>/<name>` selectively modifies the specified fields of the resource; and `GET /<resourceNamePlural>?watch=true` receives a stream of JSON objects corresponding to changes made over time to any resource of the given kind.",API リソースは従来の REST パターンを使うべきである．`GET /<resourceNamePlural>` は一覧取得，`POST /<resourceNamePlural>` はクライアント提供 JSON からの新規作成，`GET /<resourceNamePlural>/<name>` は指定名の単一リソース取得で，定数時間かつサイズが bounded なリソースを返すべきである．`DELETE /<resourceNamePlural>/<name>` は指定名の単一リソース削除，`DELETE /<resourceNamePlural>` は一覧削除，`PUT /<resourceNamePlural>/<name>` は指定名リソースの更新または作成，`PATCH /<resourceNamePlural>/<name>` は指定フィールドの選択的変更，`GET /<resourceNamePlural>?watch=true` は当該 kind のリソース変更に対応する JSON オブジェクトのストリーム受信を行う．,,,,,,,,
block_0105_s2,694-696,recommendation,"GET /&lt;resourceNamePlural&gt;/&lt;name&gt; - Retrieves a single resource with the given name, e.g. GET /pods/first returns a Pod named 'first'. Should be constant time, and the resource should be bounded in size.","`GET /<resourceNamePlural>/<name>` should retrieve a single resource with the given name, should be constant time, and should return a resource bounded in size.",`GET /<resourceNamePlural>/<name>` は，指定された名前の単一リソースを取得するべきであり，定数時間で処理され，返すリソースのサイズは bounded であるべきである．,,,,,,,,
block_0106_s2,697-702,recommendation,"DELETE /&lt;resourceNamePlural&gt;/&lt;name&gt; - Delete the single resource with the given name. DeleteOptions may specify gracePeriodSeconds, the optional duration in seconds before the object should be deleted.","`DELETE /<resourceNamePlural>/<name>` should delete the single resource with the given name, and `DeleteOptions` may specify `gracePeriodSeconds`, the optional duration in seconds before the object should be deleted.",`DELETE /<resourceNamePlural>/<name>` は，指定された名前の単一リソースを削除するべきである．`DeleteOptions` では，オブジェクトが削除されるまでの任意の秒数として `gracePeriodSeconds` を指定してもよい．,,,,,,,,
block_0121_s1,748-750,prohibition,"Note: Due to unpredictable behavior when short names collide (with each other or with resource types), do not add new short names to built-in resources unless specifically allowed by API reviewers.","New short names must not be added to built-in resources unless specifically allowed by API reviewers, due to unpredictable behavior when short names collide with each other or with resource types.",短縮名どうし，または短縮名とリソース型が衝突した場合に予測不能な挙動が起きるため，API レビュアーが明示的に許可した場合を除き，built-in resources に新しい short names を追加してはならない．,,,,,,,,
block_0130_s1,771-777,prohibition,"Note: Due to inconsistent behavior when categories collide with resource types, and difficulties knowing when it is safe to add new resources to an existing category, do not add new categories to built-in resources unless specifically allowed by API reviewers.","New categories must not be added to built-in resources unless specifically allowed by API reviewers, due to inconsistent behavior when categories collide with resource types and difficulties knowing when it is safe to add new resources to an existing category.",カテゴリとリソース型が衝突した場合の挙動が一貫せず，既存カテゴリへ新しいリソースを追加して安全か判断しにくいため，API レビュアーが明示的に許可した場合を除き，built-in resources に新しい categories を追加してはならない．,,,,,,,,
block_0152_s1,806-810,obligation,"All compatible Kubernetes APIs MUST support ""name idempotency"" and respond with an HTTP status code 409 when a request is made to POST an object that has the same name as an existing object in the system.",All compatible Kubernetes APIs must support name idempotency and respond with HTTP status code 409 when a request is made to POST an object that has the same name as an existing object in the system.,互換性のあるすべての Kubernetes API は name idempotency をサポートしなければならない．既存オブジェクトと同じ名前のオブジェクトを POST するリクエストが行われた場合，HTTP ステータスコード 409 で応答しなければならない．,,,,,,,,
block_0153_s2,812-822,recommendation,Names generated by the system may be requested using `metadata.generateName`. GenerateName indicates that the name should be made unique by the server prior to persisting it.,"System-generated names may be requested using `metadata.generateName`, which indicates that the server should make the name unique before persisting it.",システム生成名は `metadata.generateName` を使って要求してもよい．これは，永続化前にサーバーが名前を一意にするべきであることを示す．,,,,,,,,
block_0153_s3,812-822,recommendation,Names generated by the system may be requested using `metadata.generateName`. A non-empty value for the field indicates the server should attempt to make the name unique (and the name returned to the client will be different than the name passed).,"System-generated names may be requested using `metadata.generateName`, and a non-empty `metadata.generateName` value indicates that the server should attempt to make the name unique and that the name returned to the client will be different from the name passed.",システム生成名は `metadata.generateName` を使って要求してもよい．`metadata.generateName` が空でない場合，サーバーは名前を一意にしようとするべきであり，クライアントに返される名前は渡された名前とは異なる．,,,,,,,,
block_0153_s5,812-822,obligation,"Names generated by the system may be requested using `metadata.generateName`. The value of this field will be combined with a random suffix on the server if the Name field has not been provided. The provided value must be valid within the rules for Name, and may be truncated by the length of the suffix.","System-generated names may be requested using `metadata.generateName`, and if the `Name` field has not been provided, the server will combine the `metadata.generateName` value with a random suffix; the provided value must be valid within the rules for `Name` and may be truncated by the length of the suffix.",システム生成名は `metadata.generateName` を使って要求してもよい．`Name` フィールドが提供されていない場合，サーバーは `metadata.generateName` の値にランダムなサフィックスを結合する．提供された値は `Name` の規則内で有効でなければならず，サフィックスの長さ分だけ切り詰められることがある．,,,,,,,,
block_0153_s6,812-822,recommendation,"Names generated by the system may be requested using `metadata.generateName`. The provided value must be valid within the rules for Name, and may be truncated by the length of the suffix. If this field is specified, and Name is not present, the server will return a 409 with Reason `AlreadyExists` if the generated name exists, and the client should retry (after waiting at least the amount of time indicated in the Retry-After header, if it is present).","System-generated names may be requested using `metadata.generateName`, the provided value must be valid within the rules for `Name` and may be truncated by the length of the suffix, and if `metadata.generateName` is specified and `Name` is not present, the server will return a 409 with Reason `AlreadyExists` if the generated name exists, and the client should retry after waiting at least the amount of time indicated in the `Retry-After` header if it is present.",システム生成名は `metadata.generateName` を使って要求してもよく，提供値は `Name` の規則内で有効でなければならず，サフィックスの長さ分だけ切り詰められることがある．`metadata.generateName` が指定され `Name` がない場合，生成名が既に存在すればサーバーは Reason `AlreadyExists` の 409 を返し，クライアントは `Retry-After` ヘッダーがあれば少なくともその時間だけ待ってから再試行するべきである．,,,,,,,,
block_0154_s1,826-826,obligation,Fields must be either optional or required.,Fields must be either optional or required.,フィールドは optional または required のいずれかでなければならない．,optionalorrequired,,,,,,,
block_0155_s1,828-829,obligation,A field that is required means that the writer must express an opinion about the value of the field.,A required field must express the writer's opinion about the value of the field.,必須フィールドとは，そのフィールドの値について書き手が何らかの判断や選択を明示しなければならないフィールドである，という意味．,,,,,,,,
block_0156_s2,831-832,prohibition,"An optional field is one where the writer may choose to omit the field entirely. Readers should not assume that the field is present, unless the field also has a server-side default value.","For an optional field, the writer may omit the field entirely, and readers should not assume that the field is present unless the field also has a server-side default value.",任意フィールドでは，書き手はフィールド自体を省略できる．読み手は，サーバー側のデフォルト値がある場合を除き，そのフィールドが存在すると仮定してはならない．,,,,,,,,
block_0162_s1,842-843,recommendation,The API server should allow POSTing and PUTing a resource with this field unset.,The API server should allow POSTing and PUTing a resource with the optional field unset.,API サーバーは，任意フィールドが未設定のままでも，そのリソースの POST と PUT を受け入れるべきである．,,,,,,,,
block_0163_s1,845-849,recommendation,"When the field type has a built-in `nil` value, such as a map or a slice, and your use case means that you need to be able to distinguish between ""field not set"" and ""field set to an empty value"", you should use a pointer to the type, even though it has a built-in `nil` value.","When a field type has a built-in `nil` value, such as a map or a slice, and the use case requires distinguishing between ""field not set"" and ""field set to an empty value"", the field should use a pointer to the type even though the type has a built-in `nil` value.",map や slice のように型自体に `nil` 値がある場合でも，用途上「未設定」と「空の値に設定済み」を区別する必要があるなら，そのフィールドはその型へのポインターとして定義するべきである．,,,,,,,,
block_0164_s1,851-854,obligation,"Note that for backward compatibility, any field that has the `omitempty` struct tag, and is not explicitly marked as `+required`, will be considered to be optional.","For backward compatibility, any field that has the `omitempty` struct tag and is not explicitly marked as `+required` will be considered optional.",後方互換性のため，`omitempty` 構造体タグを持ち，かつ `+required` と明示されていないフィールドは，任意フィールドとして扱われる．,optionalorrequired;optionalfields,,,,,,,
block_0164_s2,851-854,obligation;recommendation,"Note that for backward compatibility, any field that has the `omitempty` struct tag, and is not explicitly marked as `+required`, will be considered to be optional. This is expected to change in the future, and new fields should explicitly set either an `+optional` or `+required` comment tag.","For backward compatibility, any field that has the `omitempty` struct tag and is not explicitly marked as `+required` will be considered optional, and new fields should explicitly set either an `+optional` or `+required` comment tag because this behavior is expected to change in the future.",後方互換性のため，`omitempty` があり `+required` がないフィールドは任意扱いになる．ただしこの挙動は将来変わる見込みなので，新しいフィールドでは `+optional` または `+required` のコメントタグを明示するべきである．,optionalorrequired;optionalfields,,,,,,,
block_0167_s1,859-859,obligation,Required fields have the following properties: They mark themselves as required explicitly with a `+required` comment tag.,Required fields must mark themselves as required explicitly with a `+required` comment tag.,必須フィールドは，`+required` コメントタグを使って，自分が必須であることを明示しなければならない．,optionalorrequired,,,,,,,
block_0168_s1,860-861,prohibition,Required fields have the following properties: The API server should not allow POSTing or PUTing a resource with this field unset.,The API server should not allow POSTing or PUTing a resource with a required field unset.,API サーバーは，必須フィールドが未設定のリソースについて，POST または PUT を許可するべきではない．,,,,,,,,
block_0169_s1,862-862,obligation,"Required fields have the following properties: They _typically_ do not use pointer types in the Go definition (e.g. `AnotherFlag SomeFlag`), though required fields where the zero value is a valid value must use pointer types, paired with an `omitempty` struct tag to avoid spurious null serializations.","Required fields typically do not use pointer types in the Go definition, though required fields where the zero value is a valid value must use pointer types paired with an `omitempty` struct tag to avoid spurious null serializations.",必須フィールドは通常 Go 定義でポインター型を使わない．ただしゼロ値が有効な値である必須フィールドでは，不要な `null` シリアライズを避けるため，ポインター型と `omitempty` 構造体タグを併用しなければならない．,,,,,,,,
block_0170_s1,864-864,obligation,"For more details on how to use pointers and `omitempty` with fields, see Serialization of optional/required fields.","For more details on how to use pointers and `omitempty` with fields, read Serialization of optional/required fields.",フィールドでポインターと `omitempty` をどう使うかの詳細は，「Serialization of optional/required fields」を参照する，という案内である．,optionalfields,,,,,,,
block_0175_s1,881-881,recommendation,"To determine whether a field should be a pointer, consider the following:","To determine whether a field should be a pointer, consider the listed pointer-selection criteria.",フィールドをポインターにするべきか判断する際は，後続に列挙されたポインター選択基準を考慮するべきである．,,,,,,,,
block_0178_s2,895-895,recommendation,"For `bool` types, the zero value is `false`, which is always a valid user choice. `bool` types should always be pointers, and should always use the `omitempty` tag.","Because the zero value for `bool` types is `false` and `false` is always a valid user choice, `bool` types should always be pointers and should always use the `omitempty` tag.",`bool` のゼロ値は `false` であり，`false` は常に有効なユーザー選択なので，`bool` フィールドは常にポインター型にし，常に `omitempty` タグを使うべきである．,,,,,,,,
block_0179_s1,896-896,obligation,"When a field is required, and the zero value is not valid, a structured client who has not expressed an explicit choice will have their request rejected by the API server based on the invalid value, rather than the field being unset.","When a field is required and the zero value is not valid, a structured client that has not expressed an explicit choice will have its request rejected by the API server based on the invalid value rather than based on the field being unset.",必須フィールドでゼロ値が無効な場合，明示的な選択をしていない構造化クライアントのリクエストは，フィールド未設定ではなく，無効な値に基づいて API サーバーに拒否される．,,,,,,,,
block_0182_s1,899-899,recommendation,"When a field is required, and the zero value is not valid, a structured client who has not expressed an explicit choice will have their request rejected by the API server based on the invalid value, rather than the field being unset. In these cases, not using `omitempty` provides the same result, but pollutes the marshaled object with zero values and is not recommended.","When a field is required and the zero value is not valid, a structured client that has not expressed an explicit choice will have its request rejected by the API server based on the invalid value rather than based on the field being unset, and not using `omitempty` is not recommended because it provides the same result but pollutes the marshaled object with zero values.",必須フィールドでゼロ値が無効な場合，未選択の構造化クライアントは無効な値として拒否される．この場合 `omitempty` を使わなくても結果は同じだが，マーシャルされたオブジェクトにゼロ値が混入するため推奨されない．,,,,,,,,
block_0183_s1,900-900,obligation,"For structs, the zero value can only be valid when the struct has no required fields, and does not require at least one property to be set.","For structs, the zero value can be valid only when the struct has no required fields and does not require at least one property to be set.",struct のゼロ値が有効になり得るのは，その struct に必須フィールドがなく，かつ少なくとも 1 つのプロパティ設定を要求していない場合に限られる．,,,,,,,,
block_0184_s1,901-901,recommendation,"For structs, the zero value can only be valid when the struct has no required fields, and does not require at least one property to be set. Required structs should use `omitzero` to avoid marshalling the zero value.","For structs, the zero value can be valid only when the struct has no required fields and does not require at least one property to be set, and required structs should use `omitzero` to avoid marshalling the zero value.",struct のゼロ値が有効になり得るのは，必須フィールドがなく，少なくとも 1 つのプロパティ設定も要求しない場合に限られる．必須 struct では，ゼロ値のマーシャリングを避けるため `omitzero` を使うべきである．,,,,,,,,
block_0197_s1,933-933,prohibition,Avoid designing APIs that require the distinction between unset and `null`.,APIs should not require the distinction between unset and `null`.,API 設計では，未設定と `null` の区別を必要とする設計にするべきではない．,,,,,,,,
block_0205_s1,956-957,obligation,Some care is required when deciding which mechanism to use and managing the semantics.,Care is required when deciding which defaulting mechanism to use and when managing the defaulting semantics.,どのデフォルト設定メカニズムを使うかを決めるとき，またデフォルト設定の意味を管理するときには，注意が必要である．,,,,,,,,
block_0207_s3,967-974,obligation,"In some cases, these values may be conditional on or deterministically derived from other fields (e.g. ""if otherField is X then this field defaults to 0"" or ""this field defaults to the value of otherField""). Note that such derived defaults present a hazard in the face of updates - if the ""other"" field changes, the derived field may have to change, too. The static defaulting logic is unaware of updates and has no concept of ""previous value"", which means this inter-field relationship becomes the user's problem - they must update both the field they care about and the ""other"" field.","When defaults are conditional on or deterministically derived from other fields, derived defaults present an update hazard because static defaulting logic is unaware of updates and has no concept of previous value, so the user must update both the field they care about and the other field.",デフォルト値が他フィールドに条件付き，または決定的に導出される場合，更新時に危険がある．静的デフォルト設定は更新や以前の値を知らないため，対象フィールドと関連する他フィールドの両方をユーザーが更新しなければならない．,,,,,,,,
block_0210_s1,991-994,obligation,"Static defaults are the best choice for values which are logically required, but which have a value that works well for most users.",Static defaults are the best choice for values that are logically required but have a value that works well for most users.,静的デフォルトは，論理的には必須だが，多くのユーザーに適した値があるフィールドに最も適している．,,,,,,,,
block_0210_s2,991-994,prohibition,Static defaulting must not consider any state except the object being operated upon (and the complexity of Service API stands as an example of why).,Static defaulting must not consider any state except the object being operated upon.,静的デフォルト設定は，操作対象のオブジェクト以外の状態を考慮してはならない．,,,,,,,,
block_0213_s2,1006-1012,obligation,"In some cases, it is useful to set a default value which is not derived from the object in question. For example, when creating a PersistentVolumeClaim, the storage class must be specified.","In some cases, it is useful to set a default value that is not derived from the object in question, such as specifying the storage class when creating a PersistentVolumeClaim.",対象オブジェクトから導出されないデフォルト値を設定することが有用な場合がある．例として，PersistentVolumeClaim を作成するときに storage class を指定する場合が挙げられる．,,,,,,,,
block_0214_s2,1014-1021,obligation,"Instead, we can provide a built-in admission controller or a MutatingWebhookConfiguration. Unlike static defaults, these may consider external state (such as annotations on StorageClass objects) when deciding default values, and must handle things like race conditions (e.g. a StorageClass is designated the default, but the admission controller has not yet seen that update).",A built-in admission controller or a MutatingWebhookConfiguration may consider external state when deciding default values and must handle race conditions.,組み込み admission controller や MutatingWebhookConfiguration は，デフォルト値を決める際に外部状態を考慮してよいが，StorageClass の既定指定をまだ観測していないような競合状態を扱わなければならない．,,,,,,,,
block_0214_s4,1014-1021,obligation,"Instead, we can provide a built-in admission controller or a MutatingWebhookConfiguration. These admission controllers are strictly optional and can be disabled. As such, fields which are initialized this way must be strictly optional.",Fields initialized by built-in admission controllers or a MutatingWebhookConfiguration must be strictly optional because these admission controllers are strictly optional and can be disabled.,組み込み admission controller や MutatingWebhookConfiguration は任意で無効化できるため，それらによって初期化されるフィールドは厳密に任意でなければならない．,,,,,,,,
block_0217_s1,1036-1040,obligation,"Like admission controlled defaults, these controllers may consider external state when deciding what values to set, must handle race conditions, and can be disabled.","Controllers, like admission controlled defaults, may consider external state when deciding what values to set, must handle race conditions, and can be disabled.",コントローラーは，admission controlled defaults と同様に，設定する値を決める際に外部状態を考慮してよいが，競合状態を扱う必要があり，また無効化され得る．,,,,,,,,
block_0217_s2,1036-1040,obligation,"Like admission controlled defaults, these controllers may consider external state when deciding what values to set, must handle race conditions, and can be disabled. Fields which are initialized this way must be strictly optional (meaning observers will see the object without these fields set, and that is allowable and semantically correct).","Controller-assigned defaulting controllers may consider external state when deciding what values to set, must handle race conditions, and can be disabled; fields initialized by controller-assigned defaulting must be strictly optional, so observing the object without those fields set is allowable and semantically correct.",コントローラーによるデフォルト設定は，設定値を決める際に外部状態を考慮してよいが，競合状態を扱えなければならず，無効化できる必要がある．この方式で初期化されるフィールドは厳密に任意であり，そのフィールドが未設定のオブジェクトを観測しても許容され，意味的に正しい．,,,,,,,,
block_0218_s1,1042-1044,obligation,"Like all controllers, care must be taken to not clobber unrelated fields or values (e.g. in an array).","Controllers must take care not to clobber unrelated fields or values, including values in arrays.",コントローラーは，無関係なフィールドや値を上書きして壊さないよう注意しなければならない．配列内の値もこの対象に含まれる．,,,,,,,,
block_0218_s2,1042-1044,recommendation,Using one of the patch or apply mechanisms is recommended to facilitate composition and concurrency of controllers.,Controllers should use one of the patch or apply mechanisms to facilitate composition and concurrency of controllers.,コントローラー同士の合成性と並行性を保ちやすくするため，コントローラーは patch または apply のいずれかの仕組みを使うべきである．,,,,,,,,
block_0219_s1,1048-1048,recommendation,"All forms of defaulting should only make the following types of modifications: Setting previously unset fields Adding keys to maps Adding values to arrays which have mergeable semantics (`+listType=map` tag or `patchStrategy:""merge""` attribute in the type definition)","All forms of defaulting should only set previously unset fields, add keys to maps, or add values to arrays that have mergeable semantics, such as a `+listType=map` tag or `patchStrategy:""merge""` attribute in the type definition.","すべてのデフォルト設定は，未設定フィールドの設定，マップへのキー追加，または `+listType=map` や `patchStrategy:""merge""` のようなマージ可能な意味を持つ配列への値追加に限るべきである．",ssatags,,,,,,,
block_0223_s2,1054-1055,recommendation,"In particular we never want to change or override a value that was provided by the user. If they requested something invalid, they should get an error.","Defaulting should never change or override a value provided by the user; if the user requested something invalid, the user should get an error.",デフォルト設定は，ユーザーが指定した値を変更または上書きすべきではない．ユーザーの指定が不正な場合は，値を直すのではなくエラーを返すべきである．,,,,,,,,
block_0228_s1,1072-1076,recommendation,"The goal is that, for a given input (e.g. YAML file), PUT on an existing object should produce the same result as if you used that input to create the object.","For a given input, such as a YAML file, PUT on an existing object should produce the same result as using that input to create the object.",同じ入力，たとえば YAML ファイルを使う場合，既存オブジェクトへの PUT は，その入力でオブジェクトを作成した場合と同じ結果になるべきである．,,,,,,,,
block_0228_s2,1072-1076,recommendation;prohibition,Calling PUT a second time with the same input should be idempotent and should not change the resource.,Calling PUT a second time with the same input should be idempotent and should not change the resource.,同じ入力で PUT を二度呼び出しても冪等であるべきであり，二度目の呼び出しでリソースが変更されるべきではない．,,,,,,,,
block_0231_s1,1095-1104,obligation,"When adding a field with a static or admission controlled default, this must be considered. If the field is immutable after creation, consider adding logic to manually ""patch"" the value from the ""old"" object into the ""new"" one when it has been ""unset"", rather than returning an error or allocating a different value (e.g. Service IPs). This may require setting the default in a different way (e.g. in the registry code which understands updates instead of in the versioned defaulting code which does not). Be careful to detect and report legitimate errors where the ""new"" value is specified but is different from the ""old"" value.","When adding a field with a static or admission-controlled default, if the field is immutable after creation, consider adding logic to manually patch the value from the old object into the new object when the value has been unset, rather than returning an error or allocating a different value; this may require setting the default in update-aware code such as registry code instead of versioned defaulting code, and legitimate errors must be detected and reported when the new value is specified but differs from the old value.",静的または admission 制御のデフォルトを持つフィールドを追加する場合，作成後に不変なフィールドでは，新しいオブジェクトで値が未設定なら，エラーにしたり別値を割り当てたりせず，古いオブジェクトの値を新しいオブジェクトへ手動で patch するロジックを検討する必要がある．このため，更新を理解する registry code などでデフォルトを設定する必要があり，新しい値が明示され，古い値と異なる正当なエラーは検出して報告しなければならない．,,,,,,,,
block_0235_s2,1129-1134,recommendation,"The resourceVersion is currently backed by etcd's mod_revision. However, it's important to note that the application should *not* rely on the implementation details of the versioning system maintained by Kubernetes. We may change the implementation of resourceVersion in the future, such as to change it to a timestamp or per-object counter.","Applications should not rely on the implementation details of the Kubernetes resourceVersion versioning system, even though resourceVersion is currently backed by etcd's mod_revision, because the implementation may change in the future to a timestamp, per-object counter, or another mechanism.",resourceVersion は現在 etcd の mod_revision に基づくが，アプリケーションは Kubernetes が管理する versioning system の実装詳細に依存すべきではない．将来，timestamp，object ごとの counter，または別の仕組みに変わる可能性があるためである．,,,,,,,,
block_0236_s2,1136-1145,obligation,"The only way for a client to know the expected value of resourceVersion is to have received it from the server in response to a prior operation, typically a GET. This value MUST be treated as opaque by clients and passed unmodified back to the server.","Clients must treat resourceVersion values received from the server in response to a prior operation, typically a GET, as opaque and pass them unmodified back to the server.",クライアントは，通常 GET などの以前の操作へのサーバー応答で受け取った resourceVersion を不透明な値として扱い，変更せずにサーバーへ渡し返さなければならない．,,,,,,,,
block_0236_s3,1136-1145,prohibition,"The only way for a client to know the expected value of resourceVersion is to have received it from the server in response to a prior operation, typically a GET. This value MUST be treated as opaque by clients and passed unmodified back to the server. Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers. However, we expect the implementation of resourceVersion to change in the future, such as in the case we shard the state by kind and/or namespace, or port to another storage system.","Clients should not assume that resourceVersion has meaning across namespaces, different kinds of resources, or different servers.",クライアントは，resourceVersion が namespace 間，異なる resource kind 間，または異なる server 間で意味を持つと仮定すべきではない．,,,,,,,,
